Date,Total number of license issued,lowest price ,avg price,Total number of applicants
13-Jan,9000,75000,75332,20857
13-Feb,9000,83300,83571,24651
13-Mar,9000,90800,91898,23589
13-Apr,11000,83900,84101,26174
13-May,9000,80700,80803,22224
13-Jun,9000,77600,77823,21482
13-Jul,9000,76300,76465,21811
13-Aug,9000,74700,74939,22650
13-Sep,9000,73400,73492,35154
13-Oct,10000,82300,83723,28887
13-Nov,8500,75500,75717,38220
13-Dec,8500,76000,76093,39625
14-Jan,8100,73500,73501,41946
14-Feb,7400,73200,73357,45758
14-Mar,7400,73800,73872,61853
14-Apr,8200,74000,74113,94241
14-May,7400,74400,74503,114121
14-Jun,7400,73800,73896,135677
14-Jul,7400,74600,74680,136098
14-Aug,7400,73600,73785,121550
14-Sep,8300,73800,73875,122219
14-Oct,7400,74000,74075,105532
14-Nov,7400,73500,73633,95595
14-Dec,7447,73600,73687,96972
15-Jan,7990,74000,74216,98203
15-Feb,7653,76500,76618,103224
15-Mar,7406,74600,74830,132690
15-Apr,8288,80600,80759,152298
15-May,7482,79000,79099,156007
15-Jun,7441,80000,80020,172205
15-Jul,7531,83100,83171,166302
15-Aug,7454,82600,82642,166939
15-Sep,8727,82100,82172,165765
15-Oct,7763,85300,85424,170995
15-Nov,7514,84600,84703,169159
15-Dec,7698,84500,84572,179133
16-Jan,9409,82200,82352,187533
16-Feb,8363,83200,83244,196470
16-Mar,8310,83100,83148,221109
16-Apr,11829,85100,85127,256897
16-May,11598,85000,85058,277889
16-Jun,11546,84400,84483,275438
16-Jul,11475,87200,87235,240750
16-Aug,11549,86900,86946,251188
16-Sep,12889,86500,86523,229544
16-Oct,11621,88300,88359,213212
16-Nov,11549,88600,88665,215424
16-Dec,12261,88300,88412,219882
17-Jan,12215,87600,87685,232101
17-Feb,10157,88200,88240,251717
17-Mar,10356,87800,87916,262010
17-Apr,12196,89800,89850,252273
17-May,10316,90100,90209,270197
17-Jun,10312,89400,89532,244349
17-Jul,10325,92200,92250,269189
17-Aug,10558,91600,91629,256083
17-Sep,12413,91300,91415,250566
17-Oct,11388,93500,93540,244868
17-Nov,11002,93100,93130,226911
17-Dec,12147,92800,92848,228148
18-Jan,12183,87900,87936,226316
18-Feb,11098,87600,87660,220831
18-Mar,9855,88100,88176,217056
18-Apr,11916,86900,87089,204980
18-May,10216,89000,89018,198627
18-Jun,10775,87800,87900,209672
18-Jul,10395,88300,88380,202337
18-Aug,10402,88300,88365,192755
18-Sep,12712,87300,87410,189142
18-Oct,10728,88000,88070,181861
18-Nov,11766,87300,87374,177355
18-Dec,12850,87400,87508,165442
